image_path,x1,y1,x2,y2,category,image_id,split,category_old,x1_modified,y1_modified,x2_modified,y2_modified
img/Abstract_Print_Twist-Back_Blouse/img_00000062.jpg,38,69,220,300,4,13111,train,3,38.0,69.0,220.0,300.0
img/Draped_Shawl_Collar_Cardigan/img_00000063.jpg,22,1,168,300,1,83859,train,6,22.0,1.0,168.0,300.0
img/Essential_Knit_Tank/img_00000040.jpg,99,59,202,202,3,87269,train,17,99.0,59.0,202.0,202.0
img/Basic_Scoop_Neck_Tank/img_00000001.jpg,58,72,152,229,3,103107,train,17,58.0,72.0,152.0,229.0
img/Ornate_Print_Tank/img_00000026.jpg,61,70,146,177,3,126192,train,17,61.0,70.0,146.0,177.0
img/Wake_Me_Up_Graphic_Tank/img_00000021.jpg,33,48,117,120,3,57255,train,17,33.0,48.0,117.0,120.0
img/Distressed_Open-Knit_Ombr&eacute;_Sweater/img_00000009.jpg,24,93,176,280,2,81685,train,16,24.0,93.0,176.0,280.0
img/Easy_Going_Muscle_Tee/img_00000047.jpg,95,72,213,247,5,85508,train,18,95.0,72.0,213.0,247.0
img/Heathered_Shawl_Collar_Cardigan/img_00000072.jpg,1,21,196,285,1,102603,train,6,1.0,21.0,196.0,285.0
img/Cable_Knit_Dolman_Cardigan/img_00000033.jpg,1,42,199,295,1,59468,train,6,1.0,42.0,199.0,295.0
img/Longline_Sleeveless_Sweater/img_00000019.jpg,68,20,148,225,2,114445,train,16,68.0,20.0,148.0,225.0
img/Ribbed_Crop_Tee/img_00000026.jpg,21,3,213,274,5,134104,train,18,21.0,3.0,213.0,274.0
img/Crochet-Trimmed_Blouse/img_00000029.jpg,29,75,214,268,4,14494,train,3,29.0,75.0,214.0,268.0
img/Windowpane-Patterned_Open-Front_Cardigan/img_00000013.jpg,14,81,168,242,1,58665,train,6,14.0,81.0,168.0,242.0
img/Faux_Fur_&_Knit_Sweater/img_00000017.jpg,70,17,300,257,2,88686,train,16,70.0,17.0,300.0,257.0
img/LA_Palm_Graphic_Tee/img_00000057.jpg,1,22,199,265,5,109452,train,18,1.0,22.0,199.0,265.0
img/Stripe_Print_Surplice_Blouse/img_00000076.jpg,24,63,161,292,4,2342,train,3,24.0,63.0,161.0,292.0
img/Waffle_Knit_Cardigan/img_00000008.jpg,1,21,212,300,1,56832,train,6,1.0,21.0,212.0,300.0
img/Ornate_Floral_Print_Cardigan/img_00000013.jpg,30,56,152,300,1,126064,train,6,30.0,56.0,152.0,300.0
img/American_Flag_Sweater/img_00000012.jpg,2,4,240,271,2,86167,train,16,2.0,4.0,240.0,271.0
img/Speckled_Geo-Patterned_Sweater/img_00000001.jpg,31,65,180,262,2,39360,train,16,31.0,65.0,180.0,262.0
img/Crochet-Trimmed_Sweater/img_00000015.jpg,63,70,188,269,2,76662,train,16,63.0,70.0,188.0,269.0
img/1981_Graphic_Ringer_Tee/img_00000039.jpg,54,77,161,223,5,32888,train,18,54.0,77.0,161.0,223.0
img/Giraffe_Print_Sweater/img_00000040.jpg,72,21,220,207,2,99071,train,16,72.0,21.0,220.0,207.0
img/Classic_Crew_Neck_Sweater/img_00000018.jpg,31,45,141,159,2,67256,train,16,31.0,45.0,141.0,159.0
img/Ribbed_Knit_Cropped_Sweater/img_00000027.jpg,30,60,173,251,2,134411,train,16,30.0,60.0,173.0,251.0
img/Crochet-Paneled_Chiffon_Blouse/img_00000046.jpg,92,58,156,188,4,14304,train,3,92.0,58.0,156.0,188.0
img/Curved-Hem_Tank/img_00000027.jpg,14,1,282,300,3,78545,train,17,14.0,1.0,282.0,300.0
img/Braided_Crew_Neck_Sweater/img_00000049.jpg,33,66,167,229,2,40595,train,16,33.0,66.0,167.0,229.0
img/Bell_Sleeve_Georgette_Blouse/img_00000092.jpg,25,50,261,296,4,25495,train,3,25.0,50.0,261.0,296.0
img/Trouble_Sweater/img_00000008.jpg,58,29,99,174,2,53430,train,16,58.0,29.0,99.0,174.0
img/Colorblocked_Faux_Leather_Varsity_Jacket/img_00000018.jpg,50,51,189,274,0,72264,train,11,50.0,51.0,189.0,274.0
img/Pintucked_Chiffon_Blouse/img_00000073.jpg,34,4,274,291,4,28317,train,3,34.0,4.0,274.0,291.0
img/Perfect_Graphic_Tee/img_00000042.jpg,1,3,300,162,5,128726,train,18,1.0,3.0,300.0,162.0
img/Tribal_Print_Peasant_Blouse/img_00000070.jpg,53,78,156,203,4,5708,train,3,53.0,78.0,156.0,203.0
img/Marled_Maxi_Cardigan/img_00000030.jpg,72,87,136,274,1,117724,train,6,72.0,87.0,136.0,274.0
img/Southwestern_Print_Racerback_Tank/img_00000020.jpg,104,61,199,240,3,38324,train,17,104.0,61.0,199.0,240.0
img/Ruffled_Floral_Chiffon_Blouse/img_00000003.jpg,78,73,238,294,4,31527,train,3,78.0,73.0,238.0,294.0
img/Woven_Pocket_Tank/img_00000031.jpg,89,42,223,233,3,58841,train,17,89.0,42.0,223.0,233.0
img/Embroidered_High-Neck_Blouse/img_00000095.jpg,119,62,233,156,4,18155,train,3,119.0,62.0,233.0,156.0
img/Cropped_Mock_Neck_Sweater/img_00000062.jpg,44,42,151,159,2,77459,train,16,44.0,42.0,151.0,159.0
img/Hooded_Cardigan/img_00000052.jpg,65,1,120,282,1,104560,train,6,65.0,1.0,120.0,282.0
img/Trimmed_Pocket_Tank/img_00000025.jpg,76,54,161,162,3,53119,train,17,76.0,54.0,161.0,162.0
img/Colorblocked_Cotton_Tee/img_00000032.jpg,25,67,197,283,5,72133,train,18,25.0,67.0,197.0,283.0
img/Life_in_Progress_Chambray_Utility_Jacket/img_00000009.jpg,61,54,162,164,0,112477,train,11,61.0,54.0,162.0,164.0
img/Draped_Shawl_Collar_Cardigan/img_00000020.jpg,51,22,248,296,1,83816,train,6,51.0,22.0,248.0,296.0
img/Faux_Fur_Collar_Cardigan/img_00000055.jpg,34,63,158,300,1,88880,train,6,34.0,63.0,158.0,300.0
img/Striped_Geo_Print_Tee/img_00000003.jpg,35,77,203,300,5,43238,train,18,35.0,77.0,203.0,300.0
img/Open_Knit_Textured_Sweater/img_00000015.jpg,17,53,180,288,2,124563,train,16,17.0,53.0,180.0,288.0
img/Ribbed_Knit_Cropped_Tank/img_00000011.jpg,61,86,153,215,3,134446,train,17,61.0,86.0,153.0,215.0
img/Mandarin_Collar_Blouse/img_00000021.jpg,58,60,262,294,4,25577,train,3,58.0,60.0,262.0,294.0
