image_path,x1,y1,x2,y2,category,image_id,split,category_old,x1_modified,y1_modified,x2_modified,y2_modified
img/Paris_France_Tee/img_00000062.jpg,1,21,213,299,5,128354,val,18,1.0,21.0,213.0,299.0
img/Fringed_Tribal_Pattern_Cardigan/img_00000031.jpg,1,2,200,288,1,97400,val,6,1.0,2.0,200.0,288.0
img/Triangle-Patterned_Slub_Knit_Tee/img_00000024.jpg,78,54,133,122,5,52060,val,18,78.0,54.0,133.0,122.0
img/Floral_Print_Racerback_Tank/img_00000036.jpg,91,41,158,106,3,94465,val,17,91.0,41.0,158.0,106.0
img/Floral_Lace-Paneled_Cardigan/img_00000033.jpg,13,1,282,300,1,94035,val,6,13.0,1.0,282.0,300.0
img/Wander_With_Love_Tank/img_00000020.jpg,70,51,132,139,3,57364,val,17,70.0,51.0,132.0,139.0
img/Vented_Stripe_Tee/img_00000020.jpg,39,66,166,252,5,56673,val,18,39.0,66.0,166.0,252.0
img/Scalloped_Lace_Cardigan/img_00000028.jpg,1,38,300,192,1,137468,val,6,1.0,38.0,300.0,192.0
img/Dainty_Lace_Tee/img_00000032.jpg,50,64,159,205,5,79320,val,18,50.0,64.0,159.0,205.0
img/Striped_Heathered_Tee/img_00000004.jpg,12,35,194,265,5,43288,val,18,12.0,35.0,194.0,265.0
img/Cutout_Back_Striped_Sweater/img_00000016.jpg,1,115,184,300,2,78696,val,16,1.0,115.0,184.0,300.0
img/Slub_Knit_Tank/img_00000006.jpg,60,46,161,253,3,36243,val,17,60.0,46.0,161.0,253.0
img/Pleated_Chiffon_Blouse/img_00000018.jpg,1,36,213,300,4,28639,val,3,1.0,36.0,213.0,300.0
img/Rugby_Stripe_Sweater/img_00000059.jpg,33,15,207,266,2,136819,val,16,33.0,15.0,207.0,266.0
img/The_Beatles_Graphic_Tee/img_00000040.jpg,45,1,225,196,5,49472,val,18,45.0,1.0,225.0,196.0
img/Scalloped_Crochet_Tank/img_00000030.jpg,87,44,139,98,3,137383,val,17,87.0,44.0,139.0,98.0
img/Longline_Crochet_Cardigan/img_00000013.jpg,83,76,183,249,1,113535,val,6,83.0,76.0,183.0,249.0
img/Rugby_Striped_Crew_Neck_Sweater/img_00000037.jpg,31,54,152,245,2,136918,val,16,31.0,54.0,152.0,245.0
img/Laid_Back_Striped_Sweater/img_00000048.jpg,1,1,163,163,2,111172,val,16,1.0,1.0,163.0,163.0
img/Drape-Front_Marled_Cardigan/img_00000035.jpg,36,48,137,197,1,83072,val,6,36.0,48.0,137.0,197.0
img/Fringe_Muscle_Tee/img_00000055.jpg,91,79,233,198,5,96789,val,18,91.0,79.0,233.0,198.0
img/Draped_Open-Front_Cardigan/img_00000050.jpg,76,72,225,299,1,83677,val,6,76.0,72.0,225.0,299.0
img/Snake_Print_Racerback_Tank/img_00000050.jpg,66,1,236,300,3,36647,val,17,66.0,1.0,236.0,300.0
img/Road_Trip_Ready_Cardigan/img_00000005.jpg,8,70,217,272,1,135214,val,6,8.0,70.0,217.0,272.0
img/Civil_Longline_Mesh_Tee/img_00000033.jpg,29,56,193,279,5,66249,val,18,29.0,56.0,193.0,279.0
img/Floral_Chiffon_Blouse/img_00000118.jpg,61,1,233,300,4,20119,val,3,61.0,1.0,233.0,300.0
img/Draped_Waffle_Knit_Cardigan/img_00000022.jpg,69,76,230,242,1,83980,val,6,69.0,76.0,230.0,242.0
img/Do_Not_Care_V-Neck_Tee/img_00000039.jpg,91,88,213,222,5,82236,val,18,91.0,88.0,213.0,222.0
img/Faux_Fur_Bomber_Jacket/img_00000038.jpg,85,88,237,300,0,88775,val,11,85.0,88.0,237.0,300.0
img/Classic_Cropped_Sweater/img_00000032.jpg,26,57,150,192,2,67492,val,16,26.0,57.0,150.0,192.0
img/Beaded_Chiffon_Blouse/img_00000011.jpg,46,1,260,239,4,23197,val,3,46.0,1.0,260.0,239.0
img/Embroidered_Split_Neck_Peasant_Blouse/img_00000060.jpg,32,80,195,245,4,18789,val,3,32.0,80.0,195.0,245.0
img/Collarless_Sequined_Jacket/img_00000017.jpg,43,6,204,289,0,71374,val,11,43.0,6.0,204.0,289.0
img/Boxy_Cable_Knit_Sweater/img_00000011.jpg,34,48,123,165,2,133679,val,16,34.0,48.0,123.0,165.0
img/Tribal-Inspired_Fringed_Cardigan/img_00000025.jpg,120,40,215,253,1,52911,val,6,120.0,40.0,215.0,253.0
img/Mesh_Panel_Tank/img_00000002.jpg,48,1,277,300,3,118960,val,17,48.0,1.0,277.0,300.0
img/Modernist_Hooded_Jacket/img_00000008.jpg,24,61,142,255,0,121285,val,11,24.0,61.0,142.0,255.0
img/Joe_Cool_Cardigan/img_00000023.jpg,68,66,234,300,1,107547,val,6,68.0,66.0,234.0,300.0
img/Triangle_Stripe_Batwing_Cardigan/img_00000027.jpg,24,73,181,300,1,51995,val,6,24.0,73.0,181.0,300.0
img/California_Graphic_Tank/img_00000053.jpg,58,51,183,267,3,61657,val,17,58.0,51.0,183.0,267.0
img/Longline_Rose_Print_Cardigan/img_00000044.jpg,18,106,170,169,1,114294,val,6,18.0,106.0,170.0,169.0
img/Floral_Cropped_Sweater_Tank/img_00000062.jpg,26,1,225,236,3,93554,val,17,26.0,1.0,225.0,236.0
img/Shawl_Collar_Maxi_Cardigan/img_00000014.jpg,64,49,246,270,1,139259,val,6,64.0,49.0,246.0,270.0
img/Woven_Wrap_Cardigan/img_00000056.jpg,120,61,212,170,1,58922,val,6,120.0,61.0,212.0,170.0
img/Southwestern_Print_Racerback_Tank/img_00000004.jpg,71,52,145,187,3,38308,val,17,71.0,52.0,145.0,187.0
img/Boxy_Mixed_Stripe_Blouse/img_00000083.jpg,32,47,163,254,4,32583,val,3,32.0,47.0,163.0,254.0
img/Essential_Draped_Cardigan/img_00000049.jpg,40,69,210,299,1,87222,val,6,40.0,69.0,210.0,299.0
img/Sheer_Pleated-Front_Blouse/img_00000121.jpg,23,98,181,300,4,120,val,3,23.0,98.0,181.0,300.0
img/Faux_Leather_Cutout_Jacket/img_00000013.jpg,182,52,255,160,0,89735,val,11,182.0,52.0,255.0,160.0
img/Medallion_Print_Blouse/img_00000064.jpg,1,17,236,252,4,25928,val,3,1.0,17.0,236.0,252.0
img/Life_Coordinates_Tee/img_00000004.jpg,33,1,280,300,5,112310,val,18,33.0,1.0,280.0,300.0
img/Marled_Twist-Front_Blouse/img_00000004.jpg,23,58,126,238,4,25790,val,3,23.0,58.0,126.0,238.0
img/Side_Vent_Tank/img_00000001.jpg,46,87,146,261,3,33550,val,17,46.0,87.0,146.0,261.0
img/Longline_Crinkled_Blouse/img_00000070.jpg,43,69,177,268,4,25050,val,3,43.0,69.0,177.0,268.0
img/Sheer_Beaded_Blouse/img_00000082.jpg,47,3,268,289,4,32686,val,3,47.0,3.0,268.0,289.0
img/Scuba_Knit_Peplum_Jacket/img_00000010.jpg,65,70,231,272,0,138002,val,11,65.0,70.0,231.0,272.0
img/Bandana_Print_Tee/img_00000036.jpg,1,30,200,282,5,96572,val,18,1.0,30.0,200.0,282.0
img/Distressed_Ghostbusters_Muscle_Tank/img_00000011.jpg,55,77,165,202,3,81517,val,17,55.0,77.0,165.0,202.0
img/Surfer_Girl_Tank/img_00000019.jpg,45,14,177,203,3,46846,val,17,45.0,14.0,177.0,203.0
img/Classic_Split-Neck_Blouse/img_00000075.jpg,86,112,218,251,4,11139,val,3,86.0,112.0,218.0,251.0
img/Essential_Raglan_Tee/img_00000015.jpg,25,72,200,273,5,87292,val,18,25.0,72.0,200.0,273.0
img/Striped_Textured_Sweater/img_00000060.jpg,83,61,226,228,2,45658,val,16,83.0,61.0,226.0,228.0
img/Striped_Knit_Sweater/img_00000038.jpg,32,54,117,141,2,43729,val,16,32.0,54.0,117.0,141.0
img/Side_Cutout_Slub_Knit_Tank/img_00000021.jpg,72,52,163,207,3,33478,val,17,72.0,52.0,163.0,207.0
img/Sunglass_Girl_Graphic_Tee/img_00000039.jpg,1,28,230,244,5,46798,val,18,1.0,28.0,230.0,244.0
img/Hooded_Asymmetrical_Longline_Jacket/img_00000007.jpg,74,44,176,218,0,104283,val,11,74.0,44.0,176.0,218.0
img/French_Graphic_Tee/img_00000063.jpg,3,16,196,266,5,96312,val,18,3.0,16.0,196.0,266.0
img/Belted_Open-Knit_Cardigan/img_00000028.jpg,42,76,202,300,1,119368,val,6,42.0,76.0,202.0,300.0
img/Ribbed_Dolman_Cardigan/img_00000018.jpg,61,100,215,260,1,134241,val,6,61.0,100.0,215.0,260.0
